Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
Indonesia-Does the national government (or other body) publish climate risk information covering all local government units?,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Meteorological, Climatological, and Geophysics Agency (BMKG) provides data on weather, climate, geophysical events, as well as climate change projections. Among its missions, it is in charge of disseminating information on climate change, including early warnings. Its website include updated potential forest fire maps, wave height maps and flood risks maps. ",https://www.bmkg.go.id/iklim/?p=ekstrem-perubahan-iklim&lang=EN,1.0,
Indonesia-Do fiscal risk statements identify climate change-related risks?,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,No,"According to the CCIA : ""The Medium-Term Fiscal Risk statements, Medium-Term Fiscal Framework (MTFF), annual macroeconomic framework and the principles of fiscal policy (KEM-PPKF) documents and Financial Notes documents being prepared by MOF to inform budget for FY 2021 did not have any specific section to address climate change issues"". 

The Fiscal Policy Agency’s Macroeconomic and Fiscal Update (Sept 2022) does not mention climate change as a fiscal risk. https://fiskal.kemenkeu.go.id/files/red/file/1665549222_fpa_red_september.pdf",https://fiskal.kemenkeu.go.id/files/red/file/1665549222_fpa_red_september.pdf,0.0,
Indonesia-Is climate change reflected in the budget guidelines?,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"“the budget circular (of indicative budget) and PMK 208/2019 do not make any reference to the national climate change strategy or NDCs. These circulars did not also contain any guidance on how to factor climate change policies into budget proposals”.

Source : CCIA",CCIA,0.0,
Indonesia-Are climate-related expenditures identified in the budget and/or tracked?,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Yes,"Indonesia was an early adopter of a climate budget tagging initiative. 
Source: https://www.uncclearn.org/wp-content/uploads/library/Main-Report.pdf

Since 2016, the Ministry of Finance, through the Center for Climate Change Financing and Multilateral Policy has developed Climate Budget Tagging at the national level. https://www.undp.org/indonesia/blog/indonesian-local-governments-participation-achieve-national-climate-target

CCIA : ""Since 2016, MOF has been implementing climate budget tagging (CBT) in the national planning and budgeting system to track climate spending in the state budget. MOF issued a guideline on the CBT (...) However, this CBT guideline has not yet been made in a formal regulation by MOF, therefore it becomes a challenge to ensure a solid ownership and active participation of the relevant line ministries to tag their climate change related budget lines in the systems"".",https://www.uncclearn.org/wp-content/uploads/library/Main-Report.pdf; https://www.undp.org/indonesia/blog/indonesian-local-governments-participation-achieve-national-climate-target,1.0,
"Indonesia-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Indonesia,EAP,East Asia and Pacific,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,CCIA : « Indonesia does not have a standardized and systematic project appraisal system to screen for climate change and disaster risk ».,CCIA,0.0,
"Indonesia-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Indonesia,EAP,East Asia and Pacific,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"Indonesia is not part of jurisdictions where the government or another authority has issued climate-related disclosure requirements that incorporate or draw from the TCFD recommendations. 
See 2023 TCFD Status Report: https://www.fsb.org/wp-content/uploads/P121023-2.pdf

However, Pertamina, an Indonesian state-owned oil and natural gas corporation, has adopted Task Force on Climate related Financial Disclosures ( TCFD ) in its Sustainability Report 2022. 

https://www.pertamina.com///Media/File/Pertamina_Sustainability%20Report%202022_270723.pdf",https://www.pertamina.com///Media/File/Pertamina_Sustainability%20Report%202022_270723.pdf,1.0,
Indonesia-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Partial,"a) No recent climate risk assessment found at the subnational level. 

b) Yes for instance the Low Carbon Development Plan (RPRKD) West Java
https://www.un-pageindonesia.org/en/activities/read/workplan/dokumen-rprkd-jawa-barat
",,0.5,
Indonesia-Climate change framework law,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Indonesia-National adaptation plan,Indonesia,EAP,East Asia and Pacific,Upper-middle income,National adaptation plan,Governance,NAP,Yes,NAP 2025,https://lcdi-indonesia.id/wp-content/uploads/2020/05/Executive-Summary-NAP.pdf,1.0,
Indonesia-Long-term strategy,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Long-term strategy,Governance,LTS,Yes,LTS https://unfccc.int/sites/default/files/resource/Indonesia_LTS-LCCR_2021.pdf NAP 2025: https://lcdi-indonesia.id/wp-content/uploads/2020/05/Executive-Summary-NAP.pdf,,1.0,
Indonesia-Does the country include environmental criteria in procurement tenders? Give one example,Indonesia,EAP,East Asia and Pacific,Upper-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"The Regulation of the President of the Republic of Indonesia No. 12 of 2021, amending the Regulation No. 16 of 2018 on Government Procurement, includes notable provisions on environmental criteria in public procurement. 

For example, Article 19 mandates that, when preparing technical specifications or Terms of Reference (ToR), government procurement officers consider environmentally friendly products, defined as goods and services labeled as such​.

However, the provisions do not constitute mandatory environmental criteria.",https://jdih.lkpp.go.id/regulation/terjemahan-resmi-peraturan-presiden/terjemahan-resmi-peraturan-presiden-nomor-12-tahun-2021,0.5,
Iraq-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Iraq,MNA,Middle East and North Africa,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"According to Iraq Initial National Communication (2016), “the National Committee on Climate Change was created to follow-up national policies and strategies developed towards climate change and to motivate all ministries through their representatives who are members of the committee to work on the implementation of these policies, develop necessary work plans for implementing them, raising awareness and capacity building”.  

https://cdn.climatepolicyradar.org/navigator/IRQ/1900/iraq-national-communication-nc-nc-1_dd941cbbecba0daacc87f66c9eefd4d5.pdf

But no evidence found on whether this Committee still exists. It is not mentioned in the CCDR. ",,1.0,
Iraq-Does the national government (or other body) publish climate risk information covering all local government units?,Iraq,MNA,Middle East and North Africa,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Info not found,"No information found about comprehensive climate risk information nor systematic observations systems in Iraqi official reports; in addition, the website of the Iraqi Meteorological Agency was not functioning at the time of data collection. ",,0.0,
Iraq-Do fiscal risk statements identify climate change-related risks?,Iraq,MNA,Middle East and North Africa,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,No,"« A first priority is to build up capacity to identify and assess sources of fiscal risk. This would allow an appraisal of the possible budgetary impact. In this regard, country authorities should start by seeking out information on the likelihood and severity of possible economic shocks, including from natural disasters, climate change, and contingent liabilities, such as guarantees, support to SOEs, and PPPs. Much of this information is often available but needs to be systematically collected, aggregated, and analyzed »

Source : IMF Report “Managing Fiscal Risks in the Middle East and North Africa”, June 2023. 

https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2023/06/08/Managing-Fiscal-Risks-in-the-Middle-East-and-North-Africa-529220

That suggests there are no fiscal risk statements in Iraq. ",,0.0,
Iraq-Is climate change reflected in the budget guidelines?,Iraq,MNA,Middle East and North Africa,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,"No budget guidelines, nor budget statement or circular could be found online. ",,0.0,
Iraq-Are climate-related expenditures identified in the budget and/or tracked?,Iraq,MNA,Middle East and North Africa,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"Iraq does not use climate budget tagging. 

https://www.undp.org/sites/g/files/zskgke326/files/2022-09/UNDP-Global-Climate-Public-Finance-Review-2022.pdf",,0.0,
"Iraq-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Iraq,MNA,Middle East and North Africa,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"The CCDR recommends to “apply a climate lens to plan investment decision”, notably by “assessing potential climatic risks and vulnerabilities for investment portfolio”, which suggests this is not done at this stage.",,0.0,
"Iraq-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Iraq,MNA,Middle East and North Africa,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"Iraq is not part of jurisdictions where the government or another authority has issued climate-related disclosure requirements
that incorporate or draw from the TCFD recommendations. 

See 2023 TCFD Status Report : https://www.fsb.org/wp-content/uploads/P121023-2.pdf

No TCFD report published by an Iraqi SOE could be found online. ",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Iraq-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Iraq,MNA,Middle East and North Africa,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,"No recent climate risk assessment nor climate change policy found at the subnational level. 

Note that Kurdistan developed its Sustainable Energy Action Plan in 2018. https://www.climamed.eu/wp-content/uploads/files/Iraq_Erbil-Governorate_SEAP.pdf",,0.0,
Iraq-Climate change framework law,Iraq,MNA,Middle East and North Africa,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Iraq-National adaptation plan,Iraq,MNA,Middle East and North Africa,Upper-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Iraq-Long-term strategy,Iraq,MNA,Middle East and North Africa,Upper-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Iraq-Does the country include environmental criteria in procurement tenders? Give one example,Iraq,MNA,Middle East and North Africa,Upper-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,No,There is no known legal framework in Iraq that mandates the inclusion of environmental criteria in public procurement processes.,,0.0,
Ireland-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Ireland,ECA,Europe and Central Asia,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The key body responsible for coordination is the Climate Action High Level Steering Group, which operates under the Department of the Environment, Climate and Communications. This group is tasked with overseeing the implementation of Ireland's Climate Action Plan, a comprehensive framework designed to ensure Ireland meets its climate targets and transitions to a low-carbon, climate-resilient economy. It meets quarterly.",https://www.oireachtas.ie/en/debates/question/2018-04-25/41/,1.0,
Ireland-Does the national government (or other body) publish climate risk information covering all local government units?,Ireland,ECA,Europe and Central Asia,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Environmental Protection Agency (EPA) in Ireland provides climate risk data that includes analysis at national and, in certain reports, at subnational levels. Their data services include the Ireland’s Climate Change Assessment (ICCA).

The Geological Survey Ireland publishes flood maps: https://www.floodinfo.ie/map/floodmaps/",https://www.epa.ie/our-services/monitoring--assessment/climate-change/,1.0,
Ireland-Do fiscal risk statements identify climate change-related risks?,Ireland,ECA,Europe and Central Asia,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,"The National Risk Assessment includes an analysis of climate change risk, among 25 variables.",https://www.gov.ie/pdf/?file=https://assets.gov.ie/266493/8fef16b4-ea2c-4830-a6fc-4f6d2a393453.pdf#page=null,1.0,
Ireland-Is climate change reflected in the budget guidelines?,Ireland,ECA,Europe and Central Asia,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,"The Draft Budgetary Plan 2024 for Ireland takes into account climate change. Other budget documents about the budget also consider climate change, the green transition, etc.",https://assets.gov.ie/273786/a28194e0-63e8-498c-b96d-57fe1080afc7.pdf,1.0,
Ireland-Are climate-related expenditures identified in the budget and/or tracked?,Ireland,ECA,Europe and Central Asia,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Yes,The Budget 2024 Expenditure outlines the amounts invested in climate action. CBT since 2019.,https://www.gov.ie/pdf/?file=https://assets.gov.ie/273322/fd803803-1a3d-48d5-aae2-a549de6a9927.pdf#page=null,1.0,
"Ireland-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Ireland,ECA,Europe and Central Asia,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,"Project Ireland 2040 is the government’s long-term overarching strategy to make Ireland a better country for all and to build a more resilient and sustainable future. The strategy ensures the alignment of investment plans with the stated National Strategic Objectives for 2040 in a considered, cohesive, and defined manner. It includes the Infrastructure Guidelines to ensure projects and public investment follow climate considerations.",https://www.gov.ie/pdf/?file=https://assets.gov.ie/279686/069538a6-4474-4d5e-8821-43a0852bfd0b.pdf#page=null,1.0,
"Ireland-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Ireland,ECA,Europe and Central Asia,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"Countries of the European Union are subjected to the CSRD, which is aligned with the TFCD. The CSRD went into effect in 2023, with a different timeline of implementation for different types of public companies. The state-owned company ESB reports annually according to the TCFD framework.",https://www.fsb.org/wp-content/uploads/P121023-2.pdf; https://esb.ie/sustainability/esg-hub/our-reporting-standards,1.0,
Ireland-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Ireland,ECA,Europe and Central Asia,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a) Yes, Galway City has a Climate Change Risk Assessment.

b) Yes, Dublin City has a Climate Action Plan 2024-2029.",https://www.dublincity.ie/residential/environment/dublin-city-councils-climate-change-action-plan/dublin-city-council-climate-action-plan-2024-2029; https://www.galwaycity.ie/gccfiles/?r=/download&path=L0RlcGFydG1lbnRzL0NsaW1hdGUgQ2hhbmdlL0xBQ0FQL0dhbHdheSBDaXR5IENsaW1hdGUgUmlzayBBc3Nlc3NtZW50IFJlcG9ydC5wZGY%3D; https://www.galwaycity.ie/gccfiles/?r=/download&path=L0RlcGFydG1lbnRzL0NsaW1hdGUgQ2hhbmdlL0xBQ0FQL0dhbHdheSBDaXR5IENsaW1hdGUgUmlzayBBc3Nlc3NtZW50IFJlcG9ydC5wZGY%3D,1.0,
Ireland-Climate change framework law,Ireland,ECA,Europe and Central Asia,High income,Climate change framework law,Governance,CC law,Yes,Climate Action and Low Carbon Development Act,,1.0,
Ireland-National adaptation plan,Ireland,ECA,Europe and Central Asia,High income,National adaptation plan,Governance,NAP,Yes,National Adaptation Framework Planning for a Climate Resilient Ireland 2024,https://www.gov.ie/pdf/?file=https://assets.gov.ie/298230/9af802e5-e601-488d-9ec1-db41279803cf.pdf#page=null,1.0,
Ireland-Long-term strategy,Ireland,ECA,Europe and Central Asia,High income,Long-term strategy,Governance,LTS,Yes,UNFCCC,https://unfccc.int/process/the-paris-agreement/long-term-strategies,1.0,
Ireland-Does the country include environmental criteria in procurement tenders? Give one example,Ireland,ECA,Europe and Central Asia,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The revised Energy Efficiency Directive (EU/2023/1791) establishes ‘energy efficiency first’ as a fundamental principle of EU energy policy, giving it legal-standing. Energy efficiency must be considered by EU countries in all relevant policy and major investment decisions taken in the energy and non-energy sectors.

The revised directive entered into force on 10 October 2023.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive_en,1.0,
Islamic Republic of Iran-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The Third National Communication to UNFCC states that Iran’s National Climate Change Office (NCCO) has a coordination role, but it is unclear to which extent. The document also mentioned more broadly a limited “integration or coordination of governance”. 

https://cdn.climatepolicyradar.org/navigator/IRN/1900/iran-national-communication-nc-nc-3_b6727a0acb2d55d5fe426758035ec542.pdf
",,1.0,
Islamic Republic of Iran-Does the national government (or other body) publish climate risk information covering all local government units?,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Islamic Republic of Iran Meteorological Organization (IRIMO) is supposed to provide climate change projections, monitoring of climate extremes (including drought warning and climate watch), etc. 
https://ds.data.jma.go.jp/tcc/RaiiInfoshare/member/iran.html
But the IRIMO website was not accessible at the time of data collection. 

Iran hosts the ECO Regional Center for Risk Management of Natural Disasters at the National Center for Climatology in Mashhad, Iran. It provides notably drought monitoring updated maps. 
https://eco-rcrm.ir
",,1.0,
Islamic Republic of Iran-Do fiscal risk statements identify climate change-related risks?,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,,,0.0,
Islamic Republic of Iran-Is climate change reflected in the budget guidelines?,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"No budget guidelines found however the Seventh Development Plan of Iran, covering the years 2023-2028, which contains detailed policies, objectives, and strategies across various sectors and aimed at guiding the country's development over this period, does not explicitly mention ""climate change"" in the sections provided.

https://irandataportal.syr.edu/wp-content/uploads/barname_haftom.pdf",,0.0,
Islamic Republic of Iran-Are climate-related expenditures identified in the budget and/or tracked?,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"The 2022-2023 budget does not directly mention specific allocations or tracking of expenditures related to climate change. 

https://irandataportal.syr.edu/wp-content/uploads/Budget-1401-2022-2023-Bill.pdf",,0.0,
"Islamic Republic of Iran-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,The EIA system is still weak in Iran.,https://livrepository.liverpool.ac.uk/3028015/,0.0,
"Islamic Republic of Iran-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"Iran is not part jurisdictions where the government or another authority has issued climate-related disclosure requirements that incorporate or draw from the TCFD recommendations (see 2023 TCFD Status Report - https://www.fsb.org/wp-content/uploads/P121023-2.pdf). 

No TCFD report published by an Iranian SOE found on the Internet. ",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Islamic Republic of Iran-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,No subnational government seems to have published climate change strategies nor climate change risk assessments.,,0.0,
Islamic Republic of Iran-Climate change framework law,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Islamic Republic of Iran-National adaptation plan,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Islamic Republic of Iran-Long-term strategy,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Islamic Republic of Iran-Does the country include environmental criteria in procurement tenders? Give one example,Islamic Republic of Iran,MNA,Middle East and North Africa,Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,No,There is no known legal framework in Iran that mandates the inclusion of environmental criteria in public procurement processes.,,0.0,
Israel-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Israel,MNA,Middle East and North Africa,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"""The government has established the Administration for Preparedness of the State of Israel for Climate Change, headed by the Ministry of Environmental Protection, to coordinate between the different ministries and to follow up the implementation of the national strategy for adaptation and the implementation of the preparedness plans. The administration includes 35 entities, including representatives of different governmental ministries, civilian entities and environmental organizations.""",https://ims.gov.il/en/node/1339,1.0,
Israel-Does the national government (or other body) publish climate risk information covering all local government units?,Israel,MNA,Middle East and North Africa,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Ministry for Environmental Protection launched a platform with interactive maps on climate risk for Israel. ""The maps and other tools available on the website will continue to be updated and improved over time, contributing to the enhancement of Israel's climate resilience.""",https://experience.arcgis.com/experience/080449da58404be494851e46940c8239/?draft=true,1.0,
Israel-Do fiscal risk statements identify climate change-related risks?,Israel,MNA,Middle East and North Africa,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,Knesset website not available,,0.0,
Israel-Is climate change reflected in the budget guidelines?,Israel,MNA,Middle East and North Africa,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,Knesset website not available,,0.0,
Israel-Are climate-related expenditures identified in the budget and/or tracked?,Israel,MNA,Middle East and North Africa,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,No evidence of CBT or green budgeting.,https://www.undp.org/sites/g/files/zskgke326/files/2022-09/UNDP-Global-Climate-Public-Finance-Review-2022.pdf,0.0,
"Israel-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Israel,MNA,Middle East and North Africa,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,The draft Climate Law includes the concept of climate impact assessment but no implementation mechanism for it. The MoEP is trying to introduce environmental elements into the mandatory regulatory impact assessment of draft laws and regulations.,https://www.oecd-ilibrary.org/sites/0175ae95-en/1/3/2/index.html?itemId=/content/publication/0175ae95-en&_csp_=e943bdf57a39ecd221e4b71d47dad0a9&itemIGO=oecd&itemContentType=book#section-d1e4132-f1598b11ad,0.0,
"Israel-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Israel,MNA,Middle East and North Africa,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory TCFD disclosure requirements. No SOE was found to disclose TCFD requirements.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Israel-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Israel,MNA,Middle East and North Africa,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Partial,"a) No physical CC risk assessment at subnational level was found.

b) Tel Aviv adopted a Climate Adaptation Action Plan",https://www.al-monitor.com/originals/2020/08/israel-donald-trump-paris-climate-agreement-tel-aviv-co2.html,0.5,
Israel-Climate change framework law,Israel,MNA,Middle East and North Africa,High income,Climate change framework law,Governance,CC law,No,,,0.0,
Israel-National adaptation plan,Israel,MNA,Middle East and North Africa,High income,National adaptation plan,Governance,NAP,No,,,0.0,
Israel-Long-term strategy,Israel,MNA,Middle East and North Africa,High income,Long-term strategy,Governance,LTS,No,,,0.0,
Israel-Does the country include environmental criteria in procurement tenders? Give one example,Israel,MNA,Middle East and North Africa,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The OECD Survey on Green Public Procurement of 2022 states that Israel has mandatory GPP requirements.

Government Decision no. 1418 prohibited procuring disposable plastic in governmental ministries and their different fiduciaries.",https://www.oecd-ilibrary.org/docserver/b50de5dc-en.pdf?expires=1723483509&id=id&accname=guest&checksum=574443DD240A07C5CAF69C4E7D2CCAD6; https://www.gov.il/he/pages/dec1418_2022,1.0,
Italy-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Italy,ECA,Europe and Central Asia,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"""Art. 4 of the Decree Law 22/2021 establishes, at the Presidency of the Council of Ministers, the Inter-Ministerial Committee for Ecological Transition (CITE) with the task of ensuring the coordination
of national policies for ecological transition and related programming.""",https://unfccc.int/sites/default/files/resource/BR5_2022%20Italy.pdf; https://www.programmazioneeconomica.gov.it/il-cite/,1.0,
Italy-Does the national government (or other body) publish climate risk information covering all local government units?,Italy,ECA,Europe and Central Asia,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Italian Institute for Environmental
Protection and Research regularly publishes climate risk data covering Italy's territory.",https://www.isprambiente.gov.it/en/databases/data-base-collection/climate-and-meteo-2/climate-change,1.0,
Italy-Do fiscal risk statements identify climate change-related risks?,Italy,ECA,Europe and Central Asia,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,Fiscal risk statement was not found.,,0.0,
Italy-Is climate change reflected in the budget guidelines?,Italy,ECA,Europe and Central Asia,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,"The Budget Plan Document 2024, which sets the objectives for the budget 2024, mentions promoting environmental sustainability and the energy transition.",https://www.mef.gov.it/inevidenza/2023/article_00177/Testo-DPB-2024-ITA.pdf,1.0,
Italy-Are climate-related expenditures identified in the budget and/or tracked?,Italy,ECA,Europe and Central Asia,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Yes,A report from the European Commission states that Italy practices CBT.,https://economy-finance.ec.europa.eu/system/files/2023-06/2023%20Green%20Budgeting%20survey%20key%20findings.pdf,1.0,
"Italy-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Italy,ECA,Europe and Central Asia,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,"As an EU member country, Italy must incorporate climate change impact in its Environmental Impact Assessment at project level.",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014L0052&from=FR,1.0,
"Italy-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Italy,ECA,Europe and Central Asia,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"Countries of the European Union are subjected to the CSRD, which is aligned with the TFCD. The CSRD went into effect in 2023, with a different timeline of implementation for different types of public companies. SOE Poste Italiane release a TCFD report.",https://www.fsb.org/wp-content/uploads/P121023-2.pdf; https://www.posteitaliane.it/en/management-reporting-climate-change-risks.html,1.0,
